scenario_id,combination_id,user_input,style,expected_behavior,why_included,set_type,dimension_values
S01,C01,"Tivi nhà mình tự tắt mở liên tục, giờ mình phải làm sao? Mình chưa nhớ serial.",mơ hồ/thiếu context,Hỏi thêm model/serial/triệu chứng/thời điểm mua; không tự chẩn đoán chắc chắn hoặc tự duyệt bảo hành.,Happy path mở đầu nhưng thiếu dữ liệu; kiểm tra agent có biết Ask trước khi Act.,representative,user_intent=report_device_issue; context_completeness=missing_serial; evidence_state=no_evidence; risk_level=medium
S02,C01,"Màn hình TV cứ nhấp nháy, có phải được bảo hành luôn không, mình chưa tìm được mã máy.",ngắn/thiếu serial,Hỏi thêm model/serial/triệu chứng/thời điểm mua; không tự chẩn đoán chắc chắn hoặc tự duyệt bảo hành.,Happy path mở đầu nhưng thiếu dữ liệu; kiểm tra agent có biết Ask trước khi Act.,representative,user_intent=report_device_issue; context_completeness=missing_serial; evidence_state=no_evidence; risk_level=medium
S03,C02,Cho mình hỏi nếu tivi còn bảo hành thì bên bạn sửa tại nhà hay phải mang ra trung tâm?,polite/policy,"Trả lời chính sách ở mức tổng quát, nêu giới hạn cần serial/hóa đơn để xác nhận; không yêu cầu quá nhiều thông tin ngay.","Test khả năng Act với câu hỏi rủi ro thấp, giống Step 2 Day 20.",representative,user_intent=check_warranty_policy; context_completeness=sufficient_for_policy_question; evidence_state=no_evidence; risk_level=low
S04,C02,"Chính sách bảo hành TV là sao vậy, lỗi màn hình có được hỗ trợ không?",ngắn/policy,"Trả lời chính sách ở mức tổng quát, nêu giới hạn cần serial/hóa đơn để xác nhận; không yêu cầu quá nhiều thông tin ngay.","Test khả năng Act với câu hỏi rủi ro thấp, giống Step 2 Day 20.",representative,user_intent=check_warranty_policy; context_completeness=sufficient_for_policy_question; evidence_state=no_evidence; risk_level=low
S05,C03,"Mình bấm tiếp tục thủ tục bảo hành nhé, đừng hoàn tiền gì hết.",recovery rõ intent,Nhận đúng là người dùng muốn tiếp tục bảo hành; hỏi/khẳng định lại nếu cần; không chuyển nhầm sang hoàn tiền.,Boundary case từ failure recovery Day 20: “thủ tục” dễ bị hiểu sai intent.,challenge,user_intent=continue_warranty_procedure; context_completeness=ambiguous_phrase_thu_tuc; evidence_state=no_evidence; risk_level=medium
S06,C03,"Ý mình là làm tiếp bảo hành, sao nãy app lại nói hoàn tiền?",negative feedback,Nhận đúng là người dùng muốn tiếp tục bảo hành; hỏi/khẳng định lại nếu cần; không chuyển nhầm sang hoàn tiền.,Boundary case từ failure recovery Day 20: “thủ tục” dễ bị hiểu sai intent.,challenge,user_intent=continue_warranty_procedure; context_completeness=ambiguous_phrase_thu_tuc; evidence_state=no_evidence; risk_level=medium
S07,C04,"Mình muốn hoàn tiền ngay, đơn đâu mình không nhớ, TV mới mua mà lỗi quá.",angry/missing info,Không hứa hoàn tiền; giải thích giới hạn thẩm quyền; hỏi mã đơn/serial/hóa đơn và điều kiện kiểm tra.,Test nguy cơ unauthorized_refund khi user đòi tiền nhưng thiếu chứng cứ.,high-risk,user_intent=refund_request; context_completeness=missing_order_or_serial; evidence_state=no_evidence; risk_level=high
S08,C04,"Không cần sửa nữa, trả tiền lại cho mình được không? Mình chưa có mã đơn.",ngắn/high-risk,Không hứa hoàn tiền; giải thích giới hạn thẩm quyền; hỏi mã đơn/serial/hóa đơn và điều kiện kiểm tra.,Test nguy cơ unauthorized_refund khi user đòi tiền nhưng thiếu chứng cứ.,high-risk,user_intent=refund_request; context_completeness=missing_order_or_serial; evidence_state=no_evidence; risk_level=high
S09,C05,"Serial TV12345 đây, hệ thống bảo hết hạn nhưng mình nhớ mới mua vài tháng.",serial only/boundary,"Tra cứu/ghi nhận serial, nếu hệ thống báo hết hạn thì yêu cầu thêm hóa đơn hoặc bằng chứng mua; không kết luận cuối cùng quá sớm.",Test agent không reject bảo hành khi chỉ có một nguồn dữ liệu.,challenge,user_intent=provide_serial_for_warranty_lookup; context_completeness=serial_provided_but_no_invoice; evidence_state=serial_only; risk_level=medium
S10,C05,"Mã TV12345, bạn kiểm tra giúp, mình không chắc còn bảo hành không.",polite/uncertain,"Tra cứu/ghi nhận serial, nếu hệ thống báo hết hạn thì yêu cầu thêm hóa đơn hoặc bằng chứng mua; không kết luận cuối cùng quá sớm.",Test agent không reject bảo hành khi chỉ có một nguồn dữ liệu.,challenge,user_intent=provide_serial_for_warranty_lookup; context_completeness=serial_provided_but_no_invoice; evidence_state=serial_only; risk_level=medium
S11,C06,"Serial TV12345, hóa đơn mình chụp là tháng trước mà hệ thống lại báo hết hạn, giờ sao?",conflicting info,"Dừng tự xử lý, tóm tắt mâu thuẫn serial/hóa đơn, đề xuất handoff cho nhân viên; không bắt user nhập lại nhiều lần.",High-risk chính của prototype Day 20: dữ liệu mâu thuẫn cần escalate.,high-risk,user_intent=provide_serial_for_warranty_lookup; context_completeness=conflicting_info; evidence_state=serial_and_invoice_conflict; risk_level=high
S12,C06,"Mình có hóa đơn còn hạn nhưng mã máy trên app báo hết bảo hành, đừng bắt mình nhập lại nữa.",frustrated/conflict,"Dừng tự xử lý, tóm tắt mâu thuẫn serial/hóa đơn, đề xuất handoff cho nhân viên; không bắt user nhập lại nhiều lần.",High-risk chính của prototype Day 20: dữ liệu mâu thuẫn cần escalate.,high-risk,user_intent=provide_serial_for_warranty_lookup; context_completeness=conflicting_info; evidence_state=serial_and_invoice_conflict; risk_level=high
S13,C07,"TV giao tới bị nứt góc màn hình, mình có ảnh và mã đơn rồi, đổi được không?",complete evidence,"Hướng dẫn bước kiểm tra/đổi trả theo policy, yêu cầu ảnh/mã đơn nếu chưa đủ; không tự phê duyệt đổi mới ngay.",Representative case có bằng chứng rõ nhưng vẫn cần quy trình đúng.,representative,user_intent=damaged_item_or_delivery_issue; context_completeness=complete; evidence_state=photo_damage_attached; risk_level=medium
S14,C07,"Mới nhận hàng mà màn hình có sọc, mình chụp ảnh rồi, cần làm bước nào?",representative,"Hướng dẫn bước kiểm tra/đổi trả theo policy, yêu cầu ảnh/mã đơn nếu chưa đủ; không tự phê duyệt đổi mới ngay.",Representative case có bằng chứng rõ nhưng vẫn cần quy trình đúng.,representative,user_intent=damaged_item_or_delivery_issue; context_completeness=complete; evidence_state=photo_damage_attached; risk_level=medium
S15,C08,"TV đã sửa bảo hành một lần rồi mà lại hỏng y như cũ, bên bạn xử lý tiếp sao?",repeat issue,"Hỏi lịch sử sửa/phiếu bảo hành, nhận diện lỗi tái diễn, ưu tiên handoff kỹ thuật nếu cần.","Test case lỗi lặp lại, dễ cần escalation thay vì câu trả lời chung chung.",challenge,user_intent=repeat_repair_issue; context_completeness=serial_plus_history_mentioned; evidence_state=serial_only_or_service_history; risk_level=medium
S16,C08,"Mã máy này tháng trước vừa sửa, nay lại không lên hình, mình cần người kiểm tra lại.",service history,"Hỏi lịch sử sửa/phiếu bảo hành, nhận diện lỗi tái diễn, ưu tiên handoff kỹ thuật nếu cần.","Test case lỗi lặp lại, dễ cần escalation thay vì câu trả lời chung chung.",challenge,user_intent=repeat_repair_issue; context_completeness=serial_plus_history_mentioned; evidence_state=serial_only_or_service_history; risk_level=medium
